entity_uid,aka_uid,type,category,first_name,last_name
2686,22740,a.k.a.,strong,Hasan Abd-al-Karim,NASRALLAH
4632,3553,a.k.a.,strong,,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN
4632,12046,a.k.a.,strong,,BANK MARKAZI IRAN
4632,12103,a.k.a.,strong,,CENTRAL BANK OF IRAN
4697,3915,a.k.a.,strong,,PARTY OF GOD
4697,3916,a.k.a.,strong,,ISLAMIC JIHAD
4697,3917,a.k.a.,strong,,ISLAMIC JIHAD ORGANIZATION
4697,3918,a.k.a.,strong,,REVOLUTIONARY JUSTICE ORGANIZATION
4697,3919,a.k.a.,strong,,ORGANIZATION OF THE OPPRESSED ON EARTH
4697,3920,a.k.a.,strong,,ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE
4697,3921,a.k.a.,strong,,ORGANIZATION OF RIGHT AGAINST WRONG
4697,3922,a.k.a.,strong,,ANSAR ALLAH
4697,3923,a.k.a.,strong,,FOLLOWERS OF THE PROPHET MUHAMMED
4697,35541,a.k.a.,strong,,LEBANESE HIZBALLAH
4697,35542,a.k.a.,strong,,LEBANESE HEZBOLLAH
4697,35543,a.k.a.,weak,,LH
4697,35544,a.k.a.,weak,,FOREIGN RELATIONS DEPARTMENT
4697,35545,a.k.a.,weak,,FRD
4697,35546,a.k.a.,weak,,EXTERNAL SECURITY ORGANIZATION
4697,35547,a.k.a.,weak,,ESO
4697,35548,a.k.a.,weak,,FOREIGN ACTION UNIT
4697,35549,a.k.a.,strong,,HIZBALLAH ESO
4697,35550,a.k.a.,strong,,HIZBALLAH INTERNATIONAL
4697,35551,a.k.a.,weak,,SPECIAL OPERATIONS BRANCH
4697,35552,a.k.a.,weak,,EXTERNAL SERVICES ORGANIZATION
4697,35553,a.k.a.,strong,,EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH
4707,3963,a.k.a.,strong,,PIJ-SHAQAQI FACTION
4707,3964,a.k.a.,strong,,PIJ
4707,3965,a.k.a.,strong,,ISLAMIC JIHAD IN PALESTINE
4707,3966,a.k.a.,strong,,ISLAMIC JIHAD OF PALESTINE
4707,3967,a.k.a.,strong,,ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS
4707,4345,a.k.a.,strong,,PIJ-SHALLAH FACTION
4707,4346,a.k.a.,strong,,PALESTINIAN ISLAMIC JIHAD
4707,4792,a.k.a.,strong,,AL-QUDS SQUADS
4707,4793,a.k.a.,strong,,SAYARA AL-QUDS
4707,4794,a.k.a.,strong,,AL-QUDS BRIGADES
4707,4795,a.k.a.,strong,,AL-AWDAH BRIGADES
10411,10256,a.k.a.,strong,,HIZBALLAH MARTYRS FOUNDATION
10411,10257,a.k.a.,strong,,LEBANESE MARTYR FOUNDATION
10411,10258,a.k.a.,strong,,AL-MUA'ASSAT AL-SHAHID
10411,10259,a.k.a.,strong,,AL-SHAHID FOUNDATION
10411,10260,a.k.a.,strong,,AL-SHAHID CHARITABLE AND SOCIAL ORGANIZATION
10411,10261,a.k.a.,strong,,AL-SHAHID ORGANIZATION
10411,10262,a.k.a.,strong,,LEBANESE MARTYR ASSOCIATION
10411,10263,a.k.a.,strong,,ISLAMIC REVOLUTION MARTYRS FOUNDATION
10411,10264,a.k.a.,strong,,MARTYRS INSTITUTE
10566,10451,a.k.a.,strong,Assad,HARDAN
10566,10452,a.k.a.,strong,As'ad,HARDAN
10568,10454,a.k.a.,strong,Wi'am,WIHAB
10568,10464,a.k.a.,strong,Wiam,WAHHAB
10568,10465,a.k.a.,strong,Wiyam,WIHAB
10568,10466,a.k.a.,strong,Wiyam,WAHAB
10569,10488,a.k.a.,strong,Hafez,MAKHLOUF
11462,12131,a.k.a.,strong,,KATA'IB HEZBOLLAH
11462,12132,a.k.a.,strong,,KHATA'IB HEZBOLLAH
11462,12133,a.k.a.,weak,,KATA'IB HIZBALLAH FI AL-IRAQ
11462,12134,a.k.a.,strong,,KHATTAB HEZBALLAH
11462,12135,a.k.a.,strong,,HIZBALLAH BRIGADES
11462,12136,a.k.a.,strong,,HIZBALLAH BRIGADES IN IRAQ
11462,12137,a.k.a.,strong,,HIZBALLAH BRIGADES-IRAQ
11462,12138,a.k.a.,weak,,HIZBALLAH BRIGADES-IRAQ OF THE ISLAMIC RESISTANCE IN IRAQ
11462,12139,a.k.a.,weak,,ISLAMIC RESISTANCE IN IRAQ
11462,12140,a.k.a.,weak,,KATIBAT ABU FATHEL AL A'ABAS
11462,12141,a.k.a.,weak,,KATIBUT KARBALAH
11462,12142,a.k.a.,weak,,KATIBAT ZAYD EBIN ALI
11462,12143,a.k.a.,strong,,KHATA'IB HIZBALLAH
13423,22416,a.k.a.,strong,Mustafa Youssef,BADREDDINE
13423,22417,a.k.a.,strong,Mustafa Amine,BADREDDINE
13423,22418,a.k.a.,strong,Elias Fouad,SAAB
13423,22419,a.k.a.,strong,Ilyas,SA'B
13423,22420,a.k.a.,strong,Sami,ISSA
13423,22748,a.k.a.,strong,Dhu,AL FIQAR
15640,23266,a.k.a.,strong,Mishal Fuad,SAMAHAH
15640,23267,a.k.a.,strong,Saadah Al-Naib Mishal Fuad,SAMAHAH
16452,27402,a.k.a.,strong,Mustafa,FAWWAZ
16452,27403,a.k.a.,strong,Moustafa Reda,DARWISH-FAWAZ
16452,27404,a.k.a.,strong,Mustapha,FAWAZ
16452,27405,a.k.a.,strong,Mustapha Rida Darwich,FAWAZ
16452,27406,a.k.a.,strong,Mostafa Reda Darwich,FAWAZ
16452,27408,a.k.a.,strong,Moustapha,FAWAZ
16452,27409,a.k.a.,strong,Mustafa,FAWAZ
16452,27410,a.k.a.,strong,Mustafa Darwish,FAWAZ
16452,27462,a.k.a.,strong,Mustapha Rhoda Darwich,FAWAZ
17160,27936,a.k.a.,strong,Abdul Nur Ali,SHA'LAN
17160,27937,a.k.a.,strong,Abd Al Nur Ali,SHALAN
17160,27938,a.k.a.,strong,Abdul-Nur Ali,SHALAN
17160,27939,a.k.a.,strong,Abdul Nur Ali,CHAALAN
17160,27940,a.k.a.,strong,Abdul Nur Ali,SHAALAN
17771,27412,a.k.a.,strong,Fouzi Reda,DARWISH-FAWAZ
17771,27413,a.k.a.,strong,Fawzi Reda,FAWAZ
17771,27414,a.k.a.,strong,Fawzy,FAWAZ
17771,27415,a.k.a.,strong,Fawzi,FAWWAZ
17771,27416,a.k.a.,strong,Fowzy,FAWAZ
17771,27417,a.k.a.,strong,Fawzy Reda,DARWISH-FAWAZ
17789,27464,a.k.a.,strong,Abdallah,THAHINI
17789,27465,a.k.a.,weak,,"TAHINI, Ahmad"
17789,27466,a.k.a.,strong,Abdalla As'ad,THINI
18218,28118,a.k.a.,strong,Adham Hussein,TABAJA
18218,28119,a.k.a.,strong,Adham,TABAJAH
18222,28132,a.k.a.,strong,,CAR CARE CENTER CCC
18222,28133,a.k.a.,strong,,CAR CARE CENTER COMPANY
18222,28134,a.k.a.,weak,,CCC COMPANY
18223,28136,a.k.a.,strong,Housein Ali,FAOUR
18224,28138,a.k.a.,strong,Qasim Muhammad,HUJAYJ
18224,28139,a.k.a.,strong,Qasim,HAJIJ
18348,28479,a.k.a.,strong,Ibrahim Mohamed,AKIL
18348,28480,a.k.a.,strong,Ibrahim Mohamed,AKIEL
18348,49330,a.k.a.,strong,Ibrahim,'AQIL
18348,49331,a.k.a.,strong,Abd al-Qadr,'AQIL
18348,49332,a.k.a.,strong,Ghosn Ali Abdel,MEHDI
18348,49333,a.k.a.,weak,,'ABD-AL-QADIR
18348,49334,a.k.a.,weak,,TAHSIN
18349,28482,a.k.a.,strong,Fu'ad,CHAKAR
18349,28483,a.k.a.,weak,,"CHAKAR, Al-Hajj Mohsin"
18349,49329,a.k.a.,strong,Fouad Ali,CHAKAR
18930,29830,a.k.a.,strong,Adel Mohammad,CHERRI
18930,29831,a.k.a.,strong,'Adil,SHIRRI
19274,30354,a.k.a.,strong,'Ali Yusuf,SHARARA
19274,30365,a.k.a.,strong,Ali Youssef,SHARARA
19388,30465,a.k.a.,strong,Muhammad Mustafa,NUR-AL-DIN
19389,30467,a.k.a.,strong,Hamdi,ZAHREDDINE
20560,32477,a.k.a.,strong,,"GLOBAL CLEANERS, INC."
20561,32479,a.k.a.,strong,Hassan,JAMALEDDINE
20562,32481,a.k.a.,strong,Mohamad El Mokhtar,KALLAS
20562,32482,a.k.a.,strong,Mohamed,KALLAS
20720,32738,a.k.a.,strong,Mohammed Galeb,HAMDAR
20720,32739,a.k.a.,strong,Mouhamad Ghaleb,HAMDAR
20720,32740,a.k.a.,strong,Muamad Ghaleb,HAMDAR
20720,32741,a.k.a.,strong,Mohammed,AMADAR
20720,32742,a.k.a.,strong,Muamad,AMADAR
20721,32744,a.k.a.,strong,Youssef,AYAD
20721,32745,a.k.a.,strong,Yosef de Castro,AYAD
23685,37509,a.k.a.,weak,,Qari Hizbullah
23685,37510,a.k.a.,strong,Hizbullah Qari,MOAZZAM
23685,37511,a.k.a.,weak,,Hizb Ullah
23685,37512,a.k.a.,weak,,Hizb Allah
23685,37513,a.k.a.,weak,,Hazab Allah
23685,37514,a.k.a.,weak,,Hazab Ullah
23685,37515,a.k.a.,weak,,Hazeb Ullah
23685,37518,a.k.a.,weak,,Hazib Ullah
23685,37519,a.k.a.,weak,,Hizbullah
23685,37520,a.k.a.,weak,,Hizbulah
23685,37521,a.k.a.,weak,,Hiz Bullah
24389,38488,a.k.a.,strong,Muhammad Ibrahim,BAZZI
24389,38489,a.k.a.,strong,Mohamed,BAZZI
24389,38490,a.k.a.,strong,Muhammed,BAZZI
24391,38496,a.k.a.,strong,Abdullah,SAFIEDDINE
24514,38658,a.k.a.,strong,Naim,QASSEM
24514,38661,a.k.a.,strong,Naim,KASSEM
24519,38663,a.k.a.,strong,Ibrahim Amin,SAYYED
24519,38682,a.k.a.,weak,,"AL-AMIN, Ibrahim"
24520,38668,a.k.a.,strong,Muhammad,YAZBIK
24520,38669,a.k.a.,strong,Hosein,ASSAF
24520,38670,a.k.a.,strong,Mohammad,YAZBEK
24520,38671,a.k.a.,strong,Mohammad,YAZBECK
24528,38689,a.k.a.,strong,Husain,KHALIL
24528,38691,a.k.a.,strong,Hossein,KHALIL
24528,38692,a.k.a.,strong,Hussein,KHALIL
24544,38729,a.k.a.,strong,Muhammad Jafar,QASIR
24544,38730,a.k.a.,strong,Mohammed Jaafar,KASSIR
24544,38731,a.k.a.,weak,,"SALAH, Shaykh"
24544,38732,a.k.a.,weak,,FADI
24544,38733,a.k.a.,weak,,MAJID
24544,38734,a.k.a.,weak,,EYNAKI
24544,38735,a.k.a.,weak,,"GHOLI, Hossein"
24588,38778,a.k.a.,strong,,ANSAR-I HEZBOLLAH
24588,38779,a.k.a.,strong,,ANSAR-I HIZBULLAH
24588,38780,a.k.a.,strong,,ANSAR HEZBOLLAH
24588,38781,a.k.a.,strong,,ANSAR UL HEZBOLLAH
24588,38782,a.k.a.,strong,,SUPPORTERS OF THE PARTY OF GOD
24589,38784,a.k.a.,strong,Abdul-Hamid,MOHTASHAM
24589,38785,a.k.a.,strong,Abdol-Hamid,MOHTASHAM
26037,40981,a.k.a.,strong,Mohammad Jawad,NASRALLAH
26037,40982,a.k.a.,strong,Juad,NASRALLAH
26057,41001,a.k.a.,weak,,"SHIBL, Hajji"
26057,41002,a.k.a.,strong,Shebl,AL ZAIDI
26057,41003,a.k.a.,strong,Shibl,AL ZAIDI
26057,41004,a.k.a.,strong,Shibl Muhsin Ubayd,AL-ZADI
26057,41005,a.k.a.,strong,Hajji Shibl Muhsin,AL-ZAYDI
